Element1,Element2,Result
Water,Water,Lake
Water,Fire,Steam
Water,Wind,Wave
Water,Earth,Plant
Water,Wave,Tsunami
Water,Lake,Ocean
Water,Steam,Cloud
Water,Mud,Swamp
Water,Beach,Ocean
Water,Volcano,Lava
Water,Lava,Stone
Water,Stone,Rock
Water,Mountain,Lake
Water,Sand,Beach
Water,Tsunami,Ocean
Water,Tornado,Tsunami
Water,Destruction,Tsunami
Water,Glass,Wine
Water,Eruption,Lava
Water,Clay,Pottery
Water,Pottery,Vase
Water,Vase,Flower
Water,Urn,Tear
Water,Dust,Mud
Water,Brick,Glass
Water,Kiln,Glass
Water,Ocean,Fish
Water,Sea,Ocean
Water,Plant,Swamp
Water,Swamp,Marsh
Fire,Fire,Volcano
Fire,Wind,Smoke
Fire,Earth,Lava
Fire,Wave,Steam
Fire,Lake,Volcano
Fire,Steam,Engine
Fire,Mud,Brick
Fire,Beach,Sun
Fire,Volcano,Lava
Fire,Lava,Volcano
Fire,Stone,Lava
Fire,Mountain,Volcano
Fire,Sand,Glass
Fire,Tsunami,Volcano
Fire,Tornado,Volcano
Fire,Destruction,Explosion
Fire,Glass,Lens
Fire,Eruption,Volcano
Fire,Clay,Pottery
Fire,Pottery,Ceramic
Fire,Vase,Lava
Fire,Urn,Volcano
Fire,Dust,Ash
Fire,Brick,Kiln
Fire,Kiln,Pottery
Fire,Ocean,Steam
